Nom,Marque,Prix,Description,Url,Url_image
GeForce DUAL RTX 4070 SUPER 12G,Asus,719€99,Utilisation : GamerConstructeur GPU : NVIDIAGPU : NVIDIA GF RTX 4070 SUPERSorties vidéo GPU : HDMISorties vidéo GPU : DisplayPortMémoire GPU : 12GoRefroidissement : ActifLongueur GPU : 268 mm,https://www.cybertek.fr/carte-graphique/asus-geforce-dual-rtx-4070-super-12g-138817.aspx,https://www.cybertek.fr/images_produits/cf74045c-398c-47f9-b382-dde58344f815.jpg
Vivobook 15X OLED X1504FA-L1977W avec Sac + Souris filaire,Asus,699€90,"Utilisation : BureautiqueUtilisation : MultimédiaTaille PC Portable : 15.6""Résolution : 1920x1080Mémoire RAM : 16 GoProcesseur : AMD Ryzen 5SSD : SSD 480/512 GoOS : Windows 11",https://www.cybertek.fr/pc-portable/asus-vivobook-15x-oled-x1504fa-l1977w-avec-sac-souris-filaire-141049.aspx,https://www.cybertek.fr/images_produits/cec79315-d33c-4451-b78f-445151e7bdc4.jpg
DUAL-RTX3050-O8G-V2 - RTX3050/8G/HDMI/DP,Asus,269€90,Utilisation : BureautiqueUtilisation : GamerConstructeur GPU : NVIDIAGPU : NVIDIA GF RTX 3050Sorties vidéo GPU : HDMISorties vidéo GPU : DisplayPortMémoire GPU : 8GoRefroidissement : Actif,https://www.cybertek.fr/carte-graphique/asus-dual-rtx3050-o8g-v2-rtx3050-8g-hdmi-dp-135202.aspx,https://www.cybertek.fr/images_produits/87450b6b-c55b-4769-9a1f-3d01061784a6.png
VIVOBOOK 16 X1605EA-MB153W,Asus,599€90,"Utilisation : BureautiqueTaille PC Portable : 16""Résolution : 1920x1200Mémoire RAM : 8 GoProcesseur : INTEL Core i5SSD : SSD 480/512 GoOS : Windows 11Chipset graphique : Intel Intégré",https://www.cybertek.fr/pc-portable/asus-vivobook-16-x1605ea-mb153w-132321.aspx,https://www.cybertek.fr/images_produits/22ab18cc-f863-40b8-84f8-d783caacc2de.png
PRIME Z790-P,Asus,219€99,Utilisation : GamerUtilisation : ProSocket : INTEL LGA1700Format Carte-mère : ATXConnectivité : Sans WifiNombre de barrettes RAM : 4Norme Mémoire RAM : DDR5LED : RGB,https://www.cybertek.fr/carte-mere/asus-prime-z790-p-125681.aspx,https://www.cybertek.fr/images_produits/b574d288-104b-4afb-9c7f-912200c804c9.jpg
PRIME H610M-K D4,Asus,93€99,Utilisation : BureautiqueUtilisation : ProSocket : INTEL LGA1700Format Carte-mère : Micro-ATXConnectivité : Sans WifiNombre de barrettes RAM : 2Norme Mémoire RAM : DDR4LED : Non RGB,https://www.cybertek.fr/carte-mere/asus-prime-h610m-k-d4-102076.aspx,https://www.cybertek.fr/images_produits/a6e3b585-a32c-4397-b988-26d1d9a356b9.jpg
VIVOBOOK 15 X1502IA-EJ042W,Asus,649€90,"Utilisation : MultimédiaTaille PC Portable : 15.6""Résolution : 1920x1080Mémoire RAM : 16 GoProcesseur : AMD Ryzen 7SSD : SSD 480/512 GoOS : Windows 11Chipset graphique : AMD Intégré",https://www.cybertek.fr/pc-portable/asus-vivobook-15-x1502ia-ej042w-142112.aspx,https://www.cybertek.fr/images_produits/c482a33f-8c90-4626-b8c2-eb6465c26f42.jpg
VivoBook 15 P1500ZA-BQ1351X,Asus,649€90,"Utilisation : ProTaille PC Portable : 15.6""Résolution : 1920x1080Mémoire RAM : 8 GoProcesseur : INTEL Core i3SSD : SSD 240/256 GoOS : Windows 11 PROChipset graphique : Intel Intégré",https://www.cybertek.fr/pc-portable/asus-vivobook-15-p1500za-bq1351x-136129.aspx,https://www.cybertek.fr/images_produits/3b43a193-7402-407d-901e-a92aee35d7bb.jpg
ROG RYUJIN III 360,Asus,349€90,Format Radiateur : 360mmSocket : AMD AM4Socket : INTEL LGA1156Socket : INTEL LGA1155Socket : INTEL LGA1150Socket : INTEL LGA1151Socket : INTEL LGA1200Socket : INTEL LGA1700,https://www.cybertek.fr/watercooling/asus-rog-ryujin-iii-360-134211.aspx,https://www.cybertek.fr/images_produits/4e68e81b-6436-4c2f-bc3c-89a3d5e387c9.jpg
TUF Gaming F15 - TUF507ZV4-LP049W,Asus,1349€90,"Utilisation : GamerTaille PC Portable : 15.6""Résolution : 1920x1080Mémoire RAM : 16 GoProcesseur : INTEL Core i7SSD : SSD 480/512 GoOS : Windows 11Chipset graphique : RTX 4060",https://www.cybertek.fr/pc-portable/asus-tuf-gaming-f15-tuf507zv4-lp049w-131833.aspx,https://www.cybertek.fr/images_produits/b6cbbe42-40f5-4aba-98b0-f53e3e04d424.jpg
PRIME Z790-P WIFI,Asus,254€99,Utilisation : GamerUtilisation : ProSocket : INTEL LGA1700Format Carte-mère : ATXConnectivité : WifiNombre de barrettes RAM : 4Norme Mémoire RAM : DDR5LED : RGB,https://www.cybertek.fr/carte-mere/asus-prime-z790-p-wifi-125680.aspx,https://www.cybertek.fr/images_produits/ea481436-d136-4087-9bab-2a5442fa005d.jpg
ROG STRIX B550-A GAMING,Asus,189€99,Utilisation : BureautiqueUtilisation : GamerSocket : AMD AM4Format Carte-mère : ATXConnectivité : Sans WifiNombre de barrettes RAM : 4Norme Mémoire RAM : DDR4LED : RGB,https://www.cybertek.fr/carte-mere/asus-rog-strix-b550-a-gaming-102513.aspx,https://www.cybertek.fr/images_produits/f134cd2b-1e4c-48c4-abc9-8c4f46f80e93.jpg
VG27AQ,Asus,319€90,"Utilisation : GamerTaille : 27""Résolution : 2560x1440Type d'écran : PlatTemps de Réponse : 1 msSync Techno. : FreeSyncSync Techno. : Compatible G-SyncType de Dalle : LED IPS / PLS",https://www.cybertek.fr/ecran-pc/asus-vg27aq-50728.aspx,https://www.cybertek.fr/images_produits/48c8a2ce-dca9-4239-89ab-e86ebd9e8d51.jpg
TUF Gaming GT501,Asus,169€99,Utilisation : GamerFormat Carte-mère : ATXFormat Carte-mère : Micro-ATXFormat Carte-mère : Mini-ITXFormat Carte-mère : E-ATXFormat Chassis : Moyen TourCouleur : NoirFenêtre latérale : Vitrée,https://www.cybertek.fr/boitier-pc/asus-tuf-gaming-gt501-45837.aspx,https://www.cybertek.fr/images_produits/61d73852-196d-4b45-b6ec-218af81d03f9.jpg
GeForce TUF RTX 4070Ti SUPER O16G GAMING,Asus,1039€99,Utilisation : GamerConstructeur GPU : NVIDIAGPU : NVIDIA GF RTX 4070Ti SUPERSorties vidéo GPU : HDMISorties vidéo GPU : DisplayPortMémoire GPU : 16GoRefroidissement : ActifLongueur GPU : 306 mm,https://www.cybertek.fr/carte-graphique/asus-geforce-tuf-rtx-4070ti-super-o16g-gaming-138825.aspx,https://www.cybertek.fr/images_produits/66b90272-447f-4a96-88aa-e399ab80bda9.jpg
