Nom,Marque,Prix,Description,Url,Url_image
DUAL-RTX3050-O8G-V2 - RTX3050/8G/HDMI/DP,Asus,269€99,Utilisation : BureautiqueUtilisation : GamerConstructeur GPU : NVIDIAGPU : NVIDIA GF RTX 3050Sorties vidéo GPU : HDMISorties vidéo GPU : DisplayPortMémoire GPU : 8GoRefroidissement : Actif,https://www.cybertek.fr/carte-graphique/asus-dual-rtx3050-o8g-v2-rtx3050-8g-hdmi-dp-135202.aspx,https://www.cybertek.fr/images_produits/87450b6b-c55b-4769-9a1f-3d01061784a6.png
VG27AQ,Asus,319€90,"Utilisation : GamerTaille : 27""Résolution : 2560x1440Type d'écran : PlatTemps de Réponse : 1 msSync Techno. : FreeSyncSync Techno. : Compatible G-SyncType de Dalle : LED IPS / PLS",https://www.cybertek.fr/ecran-pc/asus-vg27aq-50728.aspx,https://www.cybertek.fr/images_produits/48c8a2ce-dca9-4239-89ab-e86ebd9e8d51.jpg
PRIME A520M-K,Asus,79€99,Utilisation : BureautiqueUtilisation : ProUtilisation : MultimédiaSocket : AMD AM4Format Carte-mère : Micro-ATXConnectivité : Sans WifiNombre de barrettes RAM : 2Norme Mémoire RAM : DDR4,https://www.cybertek.fr/carte-mere/asus-prime-a520m-k-50022.aspx,https://www.cybertek.fr/images_produits/9cad7882-f25d-476e-96c9-e7952488ad17.jpg
VIVOBOOK 15 X1502IA-EJ042W,Asus,649€90,"Utilisation : MultimédiaTaille PC Portable : 15.6""Résolution : 1920x1080Mémoire RAM : 16 GoProcesseur : AMD Ryzen 7SSD : SSD 480/512 GoOS : Windows 11Chipset graphique : AMD Intégré",https://www.cybertek.fr/pc-portable/asus-vivobook-15-x1502ia-ej042w-142112.aspx,https://www.cybertek.fr/images_produits/c482a33f-8c90-4626-b8c2-eb6465c26f42.jpg
GeForce TUF RTX 4080 SUPER O16G GAMING,Asus,1309€90,,https://www.cybertek.fr/carte-graphique/asus-geforce-tuf-rtx-4080-super-o16g-gaming-138828.aspx,https://www.cybertek.fr/images_produits/2d7c3e74-5338-4870-8e4b-3085ab308700.jpg
ROG STRIX Z790-F GAMING WIFI II,Asus,519€99,Utilisation : GamerSocket : INTEL LGA1700Format Carte-mère : ATXConnectivité : WifiNombre de barrettes RAM : 4Norme Mémoire RAM : DDR5LED : RGBNombre de Port M2 : 5,https://www.cybertek.fr/carte-mere/asus-rog-strix-z790-f-gaming-wifi-ii-136940.aspx,https://www.cybertek.fr/images_produits/b836c29e-c437-49db-85fd-d7e7161d0655.png
VivoBook X1605ZA-MB401W avec Sac et Souris Filaire,Asus,649€90,"Utilisation : BureautiqueTaille PC Portable : 16""Résolution : 1920x1200Mémoire RAM : 16 GoProcesseur : INTEL Core i5SSD : SSD 480/512 GoOS : Windows 11Chipset graphique : Intel Intégré",https://www.cybertek.fr/pc-portable/asus-vivobook-x1605za-mb401w-avec-sac-et-souris-filaire-136805.aspx,https://www.cybertek.fr/images_produits/c57e454c-b9c8-46ac-9318-f3d13a338dea.jpg
VivoBook 15 P1500ZA-BQ1351X,Asus,629€90,"Utilisation : ProTaille PC Portable : 15.6""Résolution : 1920x1080Mémoire RAM : 8 GoProcesseur : INTEL Core i3SSD : SSD 240/256 GoOS : Windows 11 PROChipset graphique : Intel Intégré",https://www.cybertek.fr/pc-portable/asus-vivobook-15-p1500za-bq1351x-136129.aspx,https://www.cybertek.fr/images_produits/3b43a193-7402-407d-901e-a92aee35d7bb.jpg
ROG RYUJIN III 360 ARGB,Asus,399€99,Format Radiateur : 360mmSocket : AMD AM4Socket : INTEL LGA1156Socket : INTEL LGA1155Socket : INTEL LGA1150Socket : INTEL LGA1151Socket : INTEL LGA1200Socket : INTEL LGA1700,https://www.cybertek.fr/watercooling/asus-rog-ryujin-iii-360-argb-134202.aspx,https://www.cybertek.fr/images_produits/c4d1c2e7-66ea-4e02-be1d-9b7f9b524d81.png
VIVOBOOK 16 X1605EA-MB153W,Asus,599€90,"Utilisation : BureautiqueTaille PC Portable : 16""Résolution : 1920x1200Mémoire RAM : 8 GoProcesseur : INTEL Core i5SSD : SSD 480/512 GoOS : Windows 11Chipset graphique : Intel Intégré",https://www.cybertek.fr/pc-portable/asus-vivobook-16-x1605ea-mb153w-132321.aspx,https://www.cybertek.fr/images_produits/22ab18cc-f863-40b8-84f8-d783caacc2de.png
GeForce ROG Strix RTX 4090 O24G GAMING,Asus,2349€99,Utilisation : GamerUtilisation : ProConstructeur GPU : NVIDIAGPU : NVIDIA GF RTX 4090Sorties vidéo GPU : HDMISorties vidéo GPU : DisplayPortMémoire GPU : 24GoRefroidissement : Actif,https://www.cybertek.fr/carte-graphique/asus-geforce-rog-strix-rtx-4090-o24g-gaming-126366.aspx,https://www.cybertek.fr/images_produits/ebda038e-02f8-46f8-8efb-43b096b39d1c.jpg
Prime B550M-A II (WI-FI),Asus,144€99,Utilisation : BureautiqueUtilisation : GamerUtilisation : ProSocket : AMD AM4Format Carte-mère : Micro-ATXConnectivité : WifiNombre de barrettes RAM : 4Norme Mémoire RAM : DDR4,https://www.cybertek.fr/carte-mere/asus-prime-b550m-a-ii-wi-fi-123099.aspx,https://www.cybertek.fr/images_produits/d39a6d03-7cee-49d1-94b2-e8e6a63fe980.jpg
PRIME H610M-K D4,Asus,93€99,Utilisation : BureautiqueUtilisation : ProSocket : INTEL LGA1700Format Carte-mère : Micro-ATXConnectivité : Sans WifiNombre de barrettes RAM : 2Norme Mémoire RAM : DDR4LED : Non RGB,https://www.cybertek.fr/carte-mere/asus-prime-h610m-k-d4-102076.aspx,https://www.cybertek.fr/images_produits/a6e3b585-a32c-4397-b988-26d1d9a356b9.jpg
Vivobook 14X X1404GA-NK220W,Asus,499€99,"Utilisation : BureautiqueTaille PC Portable : 14""Résolution : 1920x1080Mémoire RAM : 8 GoProcesseur : INTEL Core i3SSD : SSD 480/512 GoOS : Windows 11Chipset graphique : Intel Intégré",https://www.cybertek.fr/pc-portable/asus-vivobook-14x-x1404ga-nk220w-141068.aspx,https://www.cybertek.fr/images_produits/b889a8f7-4940-4e9f-ac08-a62ba8ab543c.jpg
ROG Strix G18 GL814JI-N6124X,Asus,2599€90,"Utilisation : GamerTaille PC Portable : 18""Résolution : 2560x1600Mémoire RAM : 32 GoProcesseur : INTEL Core i9SSD : SSD 1 ToOS : Windows 11 PROChipset graphique : RTX 4070",https://www.cybertek.fr/pc-portable/asus-rog-strix-g18-gl814ji-n6124x-139394.aspx,https://www.cybertek.fr/images_produits/c2f4302c-612a-414d-9f1f-7e8f221acb35.jpg
GeForce DUAL RTX 4070 SUPER 12G,Asus,719€99,Utilisation : GamerConstructeur GPU : NVIDIAGPU : NVIDIA GF RTX 4070 SUPERSorties vidéo GPU : HDMISorties vidéo GPU : DisplayPortMémoire GPU : 12GoRefroidissement : ActifLongueur GPU : 268 mm,https://www.cybertek.fr/carte-graphique/asus-geforce-dual-rtx-4070-super-12g-138817.aspx,https://www.cybertek.fr/images_produits/cf74045c-398c-47f9-b382-dde58344f815.jpg
